"","HTP","CH Haguenau","CH Colmar","CH Mulhouse","CH Belfort","CH Epinal","Bar-le-Duc","CH Forbach","CH Metz (Mercy)","CHU Nancy (Central)"
"Boesenbiesen",47.4,66.2,30.6,52.5,70.7,104.3,169.4,111.2,132,114.5
"Bolsenheim",23.7,42.6,41.3,64.4,82.6,110.5,172.7,90.2,111,117.7
"Boofzheim",31.4,50.3,42.8,65.9,84.1,112,177.1,97.9,118.7,122.1
"Bootzheim",46.8,65.7,27.3,49.3,67.5,103.8,168.9,110.6,131.4,113.9
"Bourgheim",23.8,42.7,29.7,52.8,71,98.9,163.9,87.7,108.4,109
"Châtenois",35,53.9,21.9,45,63.2,87,152.1,98.8,119.6,97.1
"Dambach-la-Ville",36.7,55.5,31.6,54.7,72.9,97.7,162.8,100.5,121.3,107.9
"Daubensand",30,48.9,48.7,71.8,90,117.9,179,96.5,117.3,124
"Diebolsheim",38.1,56.9,44,65.9,84.1,116.3,181.4,104.6,125.3,126.4
"Dieffenthal",37.2,56.1,27.1,50.2,68.4,91.5,156.6,101,121.8,101.7
"Ebersheim",31.3,50.1,27.5,50.6,68.8,96.7,161.7,95.1,115.8,106.8
"Ebersmunster",31.7,50.5,28.7,51.7,70,97.9,162.9,95.5,116.2,108
"Eichhoffen",27.3,46.1,33.8,56.9,75.1,99.5,164.6,91.1,111.9,109.7
"Elsenheim",47.5,66.3,24.8,46.8,65,104.4,169.5,111.3,132.1,114.6
"Epfig",28.3,47.2,32.4,55.5,73.7,99.3,164.3,92.1,112.9,109.4
"Erstein",18.4,37.3,40.1,63.2,81.4,109.3,167.4,84.9,105.7,112.4
"Friesenheim",35.4,54.3,43.8,65.8,84,114.8,179.9,101.9,122.7,124.9
"Gerstheim",25.7,44.6,46.4,69.5,87.7,115.6,174.7,92.2,113,119.7
"Gertwiller",23.5,42.3,30,53.1,71.3,99.2,164.2,87.3,108,109.3
"Goxwiller",21.3,40.1,32.4,55.5,73.7,101.6,166.7,85.1,105.8,111.7
"Heidolsheim",41.2,60,27.5,50.6,68.8,98.1,163.2,105,125.8,108.3
"Heiligenstein",27.4,46.3,34.9,58,76.2,104.1,169.1,91.3,112,114.2
"Herbsheim",29.1,47.9,37.2,60.3,78.5,106.4,171.4,95.6,116.3,116.5
"Hessenheim",44,62.9,30.3,53.4,71.6,101,166.1,107.9,128.6,111.1
"Hilsenheim",39.2,58.1,35.8,58.9,77.1,105.1,170.1,103,123.8,115.2
"Hindisheim",18.2,37,42.5,65.6,83.8,111.7,167.1,84.6,105.4,112.1
"Hipsheim",16.6,35.4,44.4,67.5,85.7,113.6,165.5,83.1,103.8,110.6
"Huttenheim",28.4,47.2,32.8,55.9,74.1,102,167.1,94.9,115.6,112.1
"Ichtratzheim",13.8,32.7,44.3,67.3,85.6,113.4,162.7,80.3,101,107.8
"Itterswiller",32.1,51,34.1,57.2,75.4,98.3,163.4,95.9,116.7,108.4
"Kertzfeld",27.8,46.7,34.6,57.7,75.9,103.8,168.8,94.3,115.1,113.9
"Kintzheim",34.8,53.7,22.5,45.6,63.8,89.5,154.6,98.6,119.4,99.7
"Kogenheim",29,47.8,27.2,50.3,68.5,96.4,161.4,95.4,116.2,106.5
"Krautergersheim",16.9,35.7,37.2,60.2,78.5,106.3,165.8,83.3,104.1,110.8
"La Vancelle",45,63.8,31.8,54.9,73.1,79.4,144.4,108.8,125.7,89.5
"Le Hohwald",37.7,56.5,44.2,67.2,85.5,95.3,153.5,101.5,122.2,98.6
"Limersheim",18.9,37.7,43.4,66.5,84.7,112.6,167.8,85.3,106.1,112.8
"Mackenheim",46.8,65.7,27.3,49.3,67.5,103.8,168.9,110.6,131.4,113.9
"Marckolsheim",45.4,64.3,24.4,46.4,64.6,102.4,167.4,109.2,130,112.5
"Matzenheim",22.3,41.1,34.7,57.8,76,103.9,168.9,88.7,109.5,114
"Meistratzheim",21.5,40.3,38.8,61.9,80.1,108,167.7,85.3,106,112.8
"Mittelbergheim",27.5,46.4,34,57.1,75.3,102.6,167.7,91.3,112.1,112.7
"Mussig",41.7,60.6,28,51.1,69.3,98.7,163.7,105.5,126.3,108.8
"Muttersholtz",38.6,57.5,30.7,53.8,72,100,165,102.4,123.2,110.1
"Niedernai",19.3,38.1,35.3,58.4,76.6,104.5,165.2,82.7,103.5,110.2
"Nordhouse",16.4,35.3,41.5,64.6,82.8,110.7,165.3,82.9,103.7,110.4
"Nothalten",32.1,51,34.1,57.2,75.4,98.3,163.4,95.9,116.7,108.4
"Obenheim",28.7,47.6,47.6,70.7,88.9,116.8,177.6,95.2,115.9,122.7
"Obernai",22.3,41.2,37,60,78.2,106.1,166.9,84.4,105.2,111.9
"Ohnenheim",45.2,64,29.1,51.2,69.4,102.1,167.2,109,129.8,112.3
"Orschwiller",37.9,56.8,18.9,42,60.2,90.1,155.2,101.7,122.5,100.2
"Osthouse",21.6,40.4,36.2,59.3,77.5,105.4,170.5,88,108.8,115.5
"Reichsfeld",32.1,50.9,38.2,61.3,79.5,98.7,163.7,95.9,116.6,108.8
"Rhinau",35.1,54,46.1,69.2,87.4,115.3,180.4,101.6,122.4,125.4
"Richtolsheim",50,68.9,33.2,55.2,73.4,107,172.1,113.9,134.6,117.1
"Rossfeld",31.8,50.7,39.9,63,81.2,109.1,174.2,98.3,119.1,119.2
"Saasenheim",45.1,63.9,34.8,56.7,75,108.6,173.7,111.5,132.3,118.7
"Saint-Pierre",24.7,43.5,31.2,54.2,72.5,100.4,165.4,88.5,109.2,110.5
"Sand",24.6,43.5,35.8,58.9,77.1,105,170.1,91.1,111.8,115.1
"Schaeffersheim",21.6,40.4,39.4,62.5,80.7,108.6,170.5,88,108.8,115.5
"Scherwiller",36.8,55.7,24,47.1,65.3,88.5,153.6,100.7,121.4,98.6
"Schoenau",48.2,67.1,40,62,80.2,114.1,179.2,114.7,135.5,124.2
"Schwobsheim",45.6,64.5,33.8,56.9,75.1,104.5,169.5,109.5,130.2,114.6
"Sélestat",32.8,51.7,22.1,45.2,63.4,91.2,156.3,96.6,117.4,101.3
"Sermersheim",29.9,48.7,29.3,52.4,70.6,98.5,163.6,96.4,117.1,108.6
"Stotzheim",26.7,45.5,33.2,56.3,74.5,102.4,167.4,90.5,111.2,112.5
"Sundhouse",46.1,64.9,37,58.9,77.1,109.2,174.2,109.9,130.7,119.3
"Uttenheim",28,46.9,37.8,60.8,79,106.9,172,94.5,115.3,117.1
"Valff",22.9,41.8,34.5,57.6,75.8,103.7,168.8,86.7,107.5,113.8
"Witternheim",35.6,54.5,36,59.1,77.3,105.2,170.3,102.1,122.9,115.3
"Wittisheim",42.8,61.6,36.6,59.7,77.9,105.8,170.9,106.6,127.4,116
"Zellwiller",24.9,43.8,32,55,73.3,101.2,166.2,88.7,109.5,111.3
"Albé",39.3,58.2,32.8,55.9,74.1,87.3,152.4,103.1,123.9,97.4
"Altorf",20.9,39.7,40.4,63.5,81.7,109.6,159.9,77.4,98.2,104.9
"Avolsheim",24.1,43,43.7,66.8,85,110.7,155.5,73.1,93.8,100.6
"Barembach",39.4,58.2,59.7,82.8,101,88.2,144.6,93.6,114.4,89.7
"Bassemberg",40.7,59.5,34.1,57.2,75.4,83.3,148.4,104.5,125.2,93.5
"Bellefosse",52.3,71.2,50.3,73.4,91.6,83.7,140.9,106.6,122.1,86
"Belmont",50.9,69.8,48,71.1,89.3,83.1,140.3,105.9,121.5,85.3
"Bergbieten",26.6,46.6,52,75.1,93.3,110.5,154.1,71.6,92.4,99.1
"Bischoffsheim",21.9,40.8,38.5,61.6,79.8,107.7,164.6,82.2,102.9,109.7
"Blancherupt",53.4,72.2,51.6,74.7,92.9,84.7,141.9,107.6,123.2,87
"Boersch",27.1,46,44.1,67.2,85.4,111.1,166.9,84.5,105.2,112
"Bourg-Bruche",58.8,77.6,52.2,75.3,93.5,74.3,138.8,113.9,120.1,83.9
"Breitenau",43.6,62.4,36.1,59.2,77.4,87.5,152.6,107.4,128.1,97.6
"Breitenbach",43.1,62,36.6,59.7,77.9,90.1,153,107,127.7,98.1
"Colroy-la-Roche",53.2,72,47.5,70.6,88.8,79.4,136.6,107.4,117.9,81.7
"Cosswiller",26.9,37.6,60.9,83.9,102.2,117.2,142.7,60.2,81,87.7
"Dachstein",18.8,38.8,45.6,68.7,86.9,114.6,155.5,73.1,93.8,100.6
"Dahlenheim",18.3,38.3,48.7,71.8,90,117.7,153.2,70.7,91.5,98.2
"Dangolsheim",24,44.1,48.4,71.5,89.7,111.6,152.2,69.7,90.5,97.2
"Dieffenbach-au-Val",40.4,59.2,30.2,53.3,71.5,90.1,155.2,104.2,125,100.2
"Dinsheim",25.1,44,45.5,68.5,86.8,106.1,161.2,78.8,99.5,106.3
"Dorlisheim",23.1,42,42.7,65.8,84,108.9,156,73.5,94.3,101
"Duttlenheim",17.1,36,38,61.1,79.3,107.2,163.7,81.2,102,108.7
"Ergersheim",19.9,39.9,46.5,69.6,87.8,113.3,154,71.6,92.3,99.1
"Ernolsheim-Bruche",15.1,35.1,46.1,69.2,87.4,115.3,158.9,76.4,97.2,104
"Flexbourg",26.6,46.6,52,75.1,93.3,110.5,154.1,71.6,92.4,99.1
"Fouchy",40.7,59.5,34.1,57.2,75.4,83.3,148.4,104.5,125.2,93.5
"Fouday",48.6,67.4,52.9,76,94.2,79,136.2,102.8,117.4,81.2
"Grandfontaine",49.8,68.7,68.5,91.5,109.8,79,134.2,92.1,112.5,79.2
"Grendelbruch",39.3,58.1,55,78.1,96.3,98.1,155.2,93.5,114.3,100.3
"Gresswiller",25.1,44,45.5,68.5,86.8,106.1,161.2,78.8,99.5,106.3
"Griesheim-près-Molsheim",23,41.9,40.5,63.6,81.8,109.7,163.6,81.1,101.9,108.6
"Heiligenberg",30.4,49.3,50.8,73.9,92.1,104.8,162,84.1,104.8,107.1
"Kirchheim",16.5,36.5,52.1,75.2,93.4,119,147.1,64.7,85.4,92.2
"La Broque",41.1,60,58.5,81.6,99.8,85.2,142.4,95.4,116.2,87.4
"Lalaye",43.2,62,36.6,59.7,77.9,83,148.1,107,127.8,93.1
"Lutzelhouse",34.5,53.4,54.9,78,96.2,93.8,150.7,88.3,109,95.8
"Maisonsgoutte",42.6,61.5,36.1,59.1,77.3,85.4,149.3,106.4,127.2,94.3
"Marlenheim",16.5,36.5,52.1,75.2,93.4,119,147.1,64.7,85.4,92.2
"Mollkirch",32.2,51.1,49,72.1,90.3,105.5,162.6,86.5,107.2,107.7
"Molsheim",23.1,42,42.7,65.8,84,108.9,156,73.5,94.3,101
"Muhlbach-sur-Bruche",34,52.9,54.4,77.4,95.7,94.6,151.8,88.2,109,96.8
"Mutzig",23.1,41.9,42.6,65.7,83.9,107.2,158.7,76.3,97,103.8
"Natzwiller",48.2,67,63.2,86.2,104.5,89.8,147,102.4,123.2,92
"Neubois",40.5,59.3,28.7,51.8,70,89.5,154.6,104.3,125,99.6
"Neuve-Eglise",37.7,56.6,31.2,54.3,72.5,87.7,152.8,101.6,122.3,97.9
"Niederhaslach",34.3,53.1,54.6,77.7,95.9,103.2,160.3,81.8,102.5,105.3
"Nordheim",20,37.6,56.5,79.6,97.8,123.4,150.5,68.1,88.8,95.6
"Oberhaslach",33.8,52.7,54.2,77.3,95.5,102.7,159.9,79.4,100.1,104.9
"Odratzheim",19.1,39.1,48.9,72,90.2,115.8,147.4,64.9,85.7,92.4
"Ottrott",26.8,45.6,39,62.1,80.3,108.2,170.5,89.1,109.9,115.6
"Plaine",51.5,70.3,53,76.1,94.3,79,136.2,105.7,117.4,81.2
"Romanswiller",24.8,36.5,58.8,81.9,100.1,116.1,141.6,59.1,79.9,86.6
"Rosenwiller",24.9,43.8,41.9,65,83.2,111.1,164.7,82.3,103,109.8
"Rosheim",23.7,42.5,40.6,63.7,81.9,109.8,163.4,81,101.8,108.5
"Rothau",43.5,62.3,58.5,81.6,99.8,85.1,142.3,97.7,118.5,87.4
"Russ",37.2,56,57.5,80.6,98.8,90.1,147,91.4,112.2,92.1
"Saales",57.8,76.6,51.2,74.3,92.5,68.6,133.1,112.1,114.4,78.2
"Saint-Blaise-la-Roche",50.6,69.5,49.7,72.8,91,76.9,134.1,104.9,115.3,79.1
"Saint-Martin",39.2,58.1,32.7,55.8,74,86.7,151.7,103,123.8,96.7
"Saint-Maurice",37.3,56.2,29.4,52.5,70.7,88,153.1,101.2,121.9,98.1
"Saint-Nabor",26.8,45.6,39,62.1,80.3,108.2,170.5,89.1,109.9,115.6
"Saint-Pierre-Bois",35.8,54.6,29.8,52.9,71.1,90.5,155.6,99.6,120.3,100.7
"Saulxures",56.4,75.2,56.6,79.7,97.9,76.8,134,110.6,115.2,79.1
"Schirmeck",41.5,60.3,61.4,84.5,102.7,87.8,143,95.7,116.5,88.1
"Solbach",51.2,70.1,55.5,78.6,96.8,82.6,139.8,105.5,121,84.8
"Soultz-les-Bains",22.7,42.8,46,69.1,87.3,112.9,151.4,68.9,89.7,96.4
"Steige",47.3,66.2,40.8,63.9,82.1,79.1,143,111.2,124.2,88
"Still",28.5,47.3,48.8,71.9,90.1,106,159.7,77.3,98,104.8
"Thanvillé",36.6,55.5,26.9,49.9,68.2,87.6,152.7,100.4,121.2,97.8
"Traenheim",21.6,41.6,49.8,72.9,91.1,116.7,149.7,67.3,88,94.8
"Triembach-au-Val",37.3,56.2,29.4,52.5,70.7,88,153.1,101.2,121.9,98.1
"Urbeis",46.2,65.1,39.7,62.8,81,86,151.1,110,130.8,96.2
"Urmatt",30.6,49.4,50.9,74,92.2,103.8,161,84.8,105.6,106
"Villé",40,58.9,32.6,55.7,73.9,85.5,150.5,103.9,124.6,95.6
"Waldersbach",50.5,69.3,50.7,73.8,92,81.9,139.1,104.7,120.3,84.1
"Wangen",19.1,39.1,52.1,75.2,93.4,119,146.7,64.2,85,91.7
"Wasselonne",21,37,55,78.1,96.3,118,143.5,61,81.8,88.5
"Westhoffen",23.1,42.7,53.4,76.5,94.7,117,149.2,66.8,87.5,94.3
"Wildersbach",48.5,67.4,63.5,86.6,104.8,90.2,147.4,102.8,123.5,92.4
"Wisches",37,55.8,57.3,80.4,98.6,91.7,148.8,91.2,112,93.8
"Wolxheim",20.4,40.4,46.8,69.9,88.1,113.6,152.1,69.6,90.4,97.1
"Adamswiller",56.5,52.6,98.5,121.6,139.8,117,142.5,41.6,62.3,87.5
"Allenwiller",25.1,32.8,59.1,82.1,100.4,112.4,137.9,55.4,76.2,82.9
"Alteckendorf",22.3,17.7,68.4,91.4,109.7,114.9,140.4,57.9,78.7,85.4
"Altenheim",28.4,30.1,66.8,89.9,108.1,113.8,139.3,56.8,77.6,84.3
"Altwiller",62.2,58.3,104.2,127.3,145.5,119,138.9,40.8,61.6,75.6
"Asswiller",52.5,48.5,94.4,117.5,135.7,112.9,138.4,41.7,62.5,83.4
"Baerendorf",52.3,48.3,94.2,117.3,135.5,103.2,128.7,46.2,66.9,73.7
"Berg",51.2,47.3,93.2,116.3,134.5,114.1,137.6,36.3,57.1,84.6
"Bettwiller",52.4,48.5,94.4,117.5,135.7,112.9,138.3,37.5,58.2,83.4
"Birkenwald",28.5,36,62.4,85.5,103.7,115.6,141,58.6,79.3,86.1
"Bischholtz",43,29.9,89.1,112.2,130.4,133.2,158.7,73.9,94.7,103.7
"Bissert",54.4,50.4,96.3,119.4,137.6,117.2,140.7,39.4,60.2,82.4
"Bosselshausen",27.3,23.4,73.4,96.5,114.7,119.3,144.7,62.3,83,89.8
"Bossendorf",21.2,17.3,67.3,90.4,108.6,113.9,139.4,56.9,77.7,84.4
"Burbach",53.3,49.3,95.2,118.3,136.5,108.8,134.3,38.3,59.1,77.3
"Bust",45.6,41.7,87.6,110.7,128.9,106.1,131.5,42.6,63.4,76.6
"Buswiller",25.4,21.4,71.5,94.6,112.8,118.1,143.6,61.1,81.9,88.6
"Butten",59.9,56,101.9,125,143.2,122.8,146.2,45,65.7,93.3
"Dehlingen",61.3,57.4,103.3,126.4,144.6,124.2,145.8,44.5,65.2,94.7
"Dettwiller",29.8,25.8,71.5,94.6,112.8,111.3,136.8,54.3,75.1,81.8
"Diedendorf",55.7,51.8,97.7,120.8,139,107.2,132.7,40.8,61.5,75.7
"Diemeringen",52.7,48.8,94.7,117.8,136,115.5,139,37.7,58.5,86.1
"Dimbsthal",27.7,35.4,61.6,84.7,102.9,115,140.4,58,78.8,85.5
"Domfessel",51.2,47.2,93.2,116.2,134.5,114,137.5,36.2,57,84.6
"Dossenheim-sur-Zinsel",34,30.1,73.7,96.8,115,109.7,135.1,52.7,73.4,80.2
"Drulingen",49.4,45.5,91.4,114.5,132.7,109.9,135.3,37,57.8,80.4
"Duntzenheim",21.8,25.1,70.2,93.2,111.5,120.2,145.7,63.3,84,90.8
"Durstel",52.4,48.5,94.4,117.5,135.7,112.9,138.4,40.6,61.3,83.4
"Eckartswiller",31.7,27.8,71.3,94.4,112.6,104.9,130.4,47.9,68.7,75.4
"Erckartswiller",39.4,35.4,85.5,108.6,126.8,119,144.4,54,74.8,89.5
"Ernolsheim-lès-Saverne",34.6,30.7,73.9,97,115.2,110.1,135.6,53.1,73.9,80.7
"Eschbourg",48.1,44.2,85.8,108.9,127.1,110.1,135.6,54.1,74.9,80.6
"Eschwiller",40,36.1,82,105.1,123.3,102.9,128.3,49.4,70.1,73.4
"Ettendorf",25.3,21.2,71.4,94.4,112.7,117.9,143.4,60.9,81.7,88.4
"Eywiller",40,36.1,82,105.1,123.3,102.9,128.3,49.4,70.1,73.4
"Friedolsheim",26.8,31.2,65.5,88.5,106.8,114.5,140,57.5,78.3,85
"Frohmuhl",57.8,53.9,103.9,127,145.2,122.9,148.4,51.4,72.2,93.4
"Furchhausen",30.8,30.2,65,88.1,106.3,109.8,135.2,52.8,73.5,80.3
"Geiswiller",29.6,25.6,75.7,98.8,117,118.7,144.2,61.7,82.5,89.2
"Gingsheim",21.6,23.7,70.7,93.8,112,121,146.5,64,84.8,91.5
"Goerlingen",51.9,48,93.9,117,135.2,96.8,122.2,50.5,71.2,67.3
"Gottenhouse",30.9,31,64.9,87.9,106.2,110.6,136,53.6,74.4,81.1
"Gottesheim",29.6,25.7,75.7,98.8,117,116.2,141.6,59.2,79.9,86.7
"Grassendorf",27.7,19.3,73.8,96.9,115.1,122.2,147.7,65.3,86,92.8
"Gungwiller",48.5,44.5,90.4,113.5,131.7,110.9,134.8,33.5,54.3,81.4
"Haegen",37.8,33.9,72,95.1,113.3,111.9,137.3,56.5,77.2,82.4
"Harskirchen",57.6,53.7,99.6,122.7,140.9,116.3,141.8,42.7,63.4,78.8
"Hattmatt",31.5,27.6,71.2,94.3,112.5,107.2,132.6,50.2,71,77.7
"Hengwiller",31.4,37.8,65.3,88.4,106.6,117.4,142.8,60.4,81.1,87.9
"Herbitzheim",58.2,54.3,100.2,123.3,141.5,121,131.4,30.1,50.9,86.3
"Hinsbourg",57.8,53.9,103.9,127,145.2,122.9,148.4,51.4,72.2,93.4
"Hinsingen",62.1,58.1,104,127.1,145.3,124.9,136,34.7,55.5,82
"Hirschland",52.2,48.2,94.2,117.2,135.5,103.1,128.6,43.2,63.9,73.7
"Hochfelden",22.1,18.1,68.2,91.3,109.5,115.4,140.9,58.4,79.2,85.9
"Hohatzenheim",22.6,21.2,71.5,94.5,112.7,125.7,151.1,68.7,89.4,96.2
"Hohengoeft",24.8,30.6,59,82.1,100.3,117,142.4,60,80.8,87.5
"Hohfrankenheim",22.7,19.9,71,94.1,112.3,118.3,143.7,61.3,82,88.8
"Ingenheim",26.3,24.8,71.4,94.5,112.7,117.5,142.9,60.5,81.2,88
"Ingwiller",36.1,29.9,82.2,105.3,123.5,124.2,149.6,64.7,85.4,94.7
"Issenhausen",24.6,20.7,70.7,93.8,112,117.3,142.8,60.3,81.1,87.8
"Keskastel",53.5,49.5,95.5,118.5,136.8,116.3,130.9,29.6,50.4,85.8
"Kirrberg",52,48,94,117,135.3,100.8,126.3,48.8,69.6,71.4
"Kleingoeft",26.8,33.1,60.8,83.9,102.1,112.7,138.2,55.8,76.5,83.3
"Knoersheim",27.5,33.3,61.8,84.9,103.1,114.3,139.8,57.3,78.1,84.8
"Landersheim",23.4,29.2,62,85.1,103.3,115.9,141.4,59,79.7,86.5
"La Petite-Pierre",44.6,40.7,90.7,113.8,132,115.6,141.1,49.3,70.1,86.2
"Lichtenberg",51.1,42.6,97.2,120.3,138.5,136.5,161.9,74,94.8,107
"Littenheim",29.8,26.4,70.8,93.9,112.1,115.7,141.2,58.7,79.5,86.2
"Lixhausen",24,20,70.1,93.2,111.4,116.6,142.1,59.7,80.4,87.2
"Lochwiller",30.6,32.6,64.6,87.7,105.9,112.2,137.7,55.2,76,82.7
"Lohr",49.7,45.7,91.6,114.7,132.9,110.1,135.6,44.1,64.8,80.6
"Lorentzen",52.5,48.6,94.5,117.6,135.8,115.4,138.9,37.6,58.4,85.9
"Lupstein",29.8,26.4,70.8,93.9,112.1,115.7,141.2,58.7,79.5,86.2
"Mackwiller",53.3,49.3,95.2,118.3,136.5,116.1,139.6,38.3,59.1,86.6
"Maennolsheim",27.2,32.5,63.4,86.5,104.7,112.1,137.6,55.1,75.9,82.6
"Marmoutier",26,31.8,59.9,83,101.2,111.4,136.9,54.4,75.2,81.9
"Melsheim",24.9,21,71,94.1,112.3,114.4,139.8,57.4,78.1,84.9
"Menchhoffen",34.5,28.3,80.6,103.7,121.9,122.7,148.2,65.2,86,93.2
"Minversheim",21.1,15.6,67.2,90.3,108.5,113.3,138.8,56.3,77.1,83.8
"Mittelhausen",17.2,20.5,66.4,89.5,107.7,125.4,150.9,68.5,89.2,96
"Monswiller",30.2,26.3,67.7,90.8,109,105.9,131.4,48.9,69.7,76.4
"Mutzenhouse",22.7,19.9,71,94.1,112.3,118.3,143.7,61.3,82,88.8
"Neuwiller-lès-Saverne",37.3,33.4,77,100.1,118.3,113,138.4,56,76.7,83.5
"Niedermodern",32.3,18.4,78.4,101.5,119.7,125.1,150.5,68.1,88.8,95.6
"Niedersoultzbach",33.3,29.3,79.4,102.4,120.7,120.8,146.3,61.6,82.4,91.4
"Obersoultzbach",33.8,29.8,79.9,103,121.2,120.6,146,59.8,80.5,91.1
"Oermingen",59,55.1,101,124.1,142.3,121.9,134.8,33.5,54.2,89.6
"Ottersthal",32.6,28.6,68.1,91.2,109.4,105.1,130.5,50.9,71.7,75.6
"Otterswiller",29.5,27.3,63.4,86.5,104.7,106.9,132.4,49.9,70.7,77.4
"Ottwiller",48.9,45,90.9,114,132.2,109.4,134.9,41.1,61.8,79.9
"Petersbach",48.6,44.7,93.8,116.9,135.1,112.3,137.8,44,64.7,82.8
"Pfaffenhoffen",32.3,18.4,78.4,101.5,119.7,125.1,150.5,68.1,88.8,95.6
"Pfalzweyer",40.7,36.8,82.7,105.8,124,101.2,126.7,47.5,68.2,71.7
"Printzheim",32.3,28.4,77.3,100.4,118.6,116.4,141.8,59.4,80.1,86.9
"Puberg",55.2,49.5,101.3,124.4,142.6,125.7,151.1,54.2,74.9,96.2
"Rangen",24.8,30.6,59,82.1,100.3,117,142.4,60,80.8,87.5
"Ratzwiller",65.3,61.3,107.2,130.3,148.5,128.1,151.6,50.3,71.1,98.6
"Rauwiller",49.1,45.2,91.1,114.2,132.4,100.1,125.5,47.6,68.4,70.6
"Reinhardsmunster",40.1,39.7,74.1,97.2,115.4,117.7,143.2,62.3,83.1,88.2
"Reipertswiller",50.9,38.9,97,120,138.2,137.4,162.8,69.3,91.8,107.9
"Reutenbourg",28.5,34.1,62.5,85.6,103.8,113.7,139.2,56.8,77.5,84.3
"Rexingen",53.6,49.7,95.6,118.7,136.9,116.2,140,38.7,59.5,86.8
"Rimsdorf",48.2,44.3,90.2,113.3,131.5,111.1,134.5,33.3,54,81.6
"Ringeldorf",29.1,19.9,75.2,98.3,116.5,121.9,147.4,64.9,85.7,92.4
"Ringendorf",27.5,23.4,73.6,96.7,114.9,120.2,145.6,63.2,83.9,90.7
"Rosteig",52.8,47,98.9,122,140.2,131,156.5,59.6,80.3,101.5
"Saessolsheim",24.6,28.1,65.6,88.7,106.9,117.9,143.3,60.9,81.6,88.4
"Saint-Jean-Saverne",33.1,29.2,71.8,94.9,113.1,105.1,130.6,48.1,68.9,75.7
"Salenthal",27.7,35.4,61.6,84.7,102.9,115,140.4,58,78.8,85.5
"Sarre-Union",50.3,46.4,92.3,115.4,133.6,113.1,136.6,35.3,56.1,83.7
"Sarrewerden",50.6,46.7,92.6,115.7,133.9,112.8,136.9,35.6,56.4,81.3
"Saverne",32.4,28.9,66.3,89.4,107.6,108,133.5,51.5,72.3,78.6
"Schaffhouse-sur-Zorn",21.5,20.6,70.6,93.6,111.9,117.9,143.3,60.9,81.7,88.4
"Schalkendorf",29.3,24,75.4,98.5,116.7,122,147.4,65,85.8,92.5
"Scherlenheim",26.7,22.8,72.8,95.9,114.1,117.8,143.3,60.9,81.6,88.4
"Schillersdorf",35.1,28.8,81.2,104.3,122.5,123.6,149.1,66.1,86.9,94.1
"Schoenbourg",48.7,44.8,88.6,111.7,129.9,109.2,134.6,47.7,68.4,79.7
"Schopperten",53.4,49.5,95.4,118.5,136.7,116.3,134.8,33.6,54.3,86.8
"Schwindratzheim",21,16,67.1,90.2,108.4,114.3,139.8,57.4,78.1,84.9
"Siewiller",46.1,42.2,88.1,111.2,129.4,106.6,132.1,39.8,60.6,77.1
"Siltzheim",64.9,61,106.9,130,148.2,127.8,134.2,25,53.7,90.8
"Singrist",25.1,32.8,59.1,82.1,100.4,112.4,137.9,55.4,76.2,82.9
"Sparsbach",44.3,38.5,90.4,113.4,131.7,125,150.5,60.1,80.8,95.5
"Steinbourg",30.9,27,70.6,93.7,111.9,106.6,132.1,49.6,70.4,77.1
"Struth",51.4,47.5,96.2,119.2,137.4,114.6,140.1,46.3,67.1,85.2
"Tieffenbach",54,50.1,99.3,122.4,140.6,117.8,143.3,48.2,69,88.3
"Uttwiller",32.1,28.2,78.2,101.3,119.5,120.3,145.8,62.8,83.6,90.8
"Voellerdingen",54.1,50.2,96.1,119.2,137.4,117,139.8,38.6,59.3,87.5
"Volksberg",60.9,55.2,107,130.1,148.3,131.8,157.3,56.4,77.1,102.3
"Waldhambach",58.9,54.9,101.2,124.3,142.5,119.7,145.2,44.3,65,90.2
"Waldolwisheim",33.9,29.9,68.5,91.6,109.8,110,135.4,53,73.7,80.5
"Waltenheim-sur-Zorn",19.8,13.8,65.9,89,107.2,118,143.5,61,81.8,88.5
"Weinbourg",38.9,34.9,85,108.1,126.3,123.7,149.2,61.3,82,94.2
"Weislingen",59.4,55.4,104.7,127.7,146,123.1,148.6,48.8,69.6,93.7
"Weiterswiller",35.6,31.6,81.7,104.8,123,117.8,143.3,57.6,78.4,88.3
"Weyer",49.9,45.9,91.8,114.9,133.1,110.3,135.8,40.3,61,80.9
"Wilwisheim",24.9,21,71,94.1,112.3,114.4,139.8,57.4,78.1,84.9
"Wimmenau",47.2,41.5,93.3,116.4,134.6,132.5,158,65.7,86.4,103
"Wingen-sur-Moder",50.5,44.8,96.6,119.7,137.9,126.8,152.2,60.4,81.2,97.3
"Wingersheim",20.1,18.2,68.9,92,110.2,122.6,148.1,65.6,86.4,93.1
"Wolfskirchen",55.6,51.7,97.6,120.7,138.9,108.5,134,40.7,61.4,77
"Wolschheim",28.4,31.7,62.6,85.7,103.9,111.3,136.7,54.3,75.1,81.8
"Zehnacker",25.7,33.6,59.7,82.8,101,115.1,140.6,58.1,78.9,85.6
"Zeinheim",24.8,30.6,59,82.1,100.3,117,142.4,60,80.8,87.5
"Zittersheim",52.7,48.8,98.8,121.9,140.1,123.8,149.2,57.4,78.2,94.3
"Aschbach",43.5,30.1,89.6,112.7,130.9,147.9,173.4,90.9,111.7,118.4
