,X,HTP,CH_Haguenau,CH_Colmar,CH_Mulhouse,CH_Belfort,CH_Epinal,Bar_le_Duc,CH_Forbach,CH_Metz__Mercy_,CHU_Nancy__Central_,choix1,choix2,choix3
823,WALDHAMBACH,"59,3","54,8","99,5","122,8","140,8","120,5",145,"43,7","64,5","92,2","CH,Forbach","CH,Forbach","CH,Haguenau"
868,WALDIGHOFEN,96,"115,6","57,4",31,"46,3","112,6","207,6","158,6","179,4","151,5","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
321,WALDOLWISHEIM,"33,7","30,4","66,8","90,1","108,1","109,5","135,9","53,5","74,2","81,1","CH,Haguenau",HTP,HTP
726,WALHEIM,83,"102,5","44,4","15,7","33,8","98,3","193,2","145,6","166,4","137,2","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
95,WALTENHEIM,"77,2","96,7","38,6","16,3","43,4","106,2","199,3","139,8","160,7","144,3","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
846,WALTENHEIM-SUR-ZORN,"21,3","14,6","67,3","90,7","108,7","116,9","143,4","60,9","81,6","88,5","CH,Haguenau",HTP,HTP
531,WANGEN,"19,1","39,8","50,9","74,3","92,3","119,2","146,8","64,3",85,"91,9",HTP,HTP,"CH,Haguenau"
729,WANGENBOURG-ENGENTHAL,"36,8","46,1","69,6","92,9","110,9","122,2","149,9","68,7","89,5","95,2",HTP,HTP,"CH,Haguenau"
608,WASSELONNE,"20,9","36,2","53,7",77,"95,1","116,1","142,6","60,1","80,9","87,8",HTP,HTP,"CH,Haguenau"
671,WASSERBOURG,"67,6","87,1","21,1","51,9","63,9","86,2","180,6","130,2",151,"124,6","CH,Colmar","CH,Colmar","CH,Mulhouse"
687,WATTWILLER,"75,1","94,7","29,9",22,"28,8",84,"178,9","137,8","158,5","122,9","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
305,WECKOLSHEIM,"57,4","76,9","19,1","33,6","51,7","104,2","179,5",120,"140,7","124,6","CH,Colmar","CH,Colmar","CH,Mulhouse"
754,WEGSCHEID,"94,1","113,7",49,"34,2","29,7","71,2","166,1","156,7","147,4","110,1","CH,Belfort","CH,Belfort","CH,Mulhouse"
311,WEINBOURG,"38,1","33,5","84,2","107,5","125,5","120,6","147,1","59,1","79,9","92,2","CH,Haguenau",HTP,HTP
540,WEISLINGEN,"60,6",56,104,"127,4","145,4","122,8","149,3","48,3","69,1","94,4","CH,Forbach","CH,Forbach","CH,Haguenau"
105,WEITBRUCH,"23,3",11,"69,3","92,7","110,7","125,2","151,7","69,2","90,2","96,8","CH,Haguenau",HTP,HTP
39,WEITERSWILLER,"36,4","31,8","81,5","104,7","122,7","117,5","143,9",57,"77,8","89,1","CH,Haguenau",HTP,HTP
618,WENTZWILLER,"83,3","102,8","44,7","28,6","49,4","112,3","205,3","145,9","166,6","150,5","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
488,WERENTZHOUSE,"92,8","112,3","54,2","36,8","52,1","118,4","213,4","155,4","176,1","157,3","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
118,WESTHALTEN,65,"84,5","19,7","26,3","38,2","94,9",185,"127,6","148,5",130,"CH,Colmar","CH,Colmar","CH,Mulhouse"
139,WESTHOFFEN,22,"41,2","51,5","74,8","92,8","116,5","147,7","65,3","86,2","92,8",HTP,HTP,"CH,Haguenau"
262,WESTHOUSE,"27,3","46,9","36,2","59,6","77,6","105,5","170,5","93,3",114,"115,7",HTP,HTP,"CH,Colmar"
439,WESTHOUSE-MARMOUTIER,"27,3","32,8","60,1","83,4","101,4","111,4","137,9","55,4","76,1",83,HTP,HTP,"CH,Haguenau"
101,WETTOLSHEIM,"53,4","72,9","6,9",34,"45,9","88,1",172,116,"136,9","117,1","CH,Colmar","CH,Colmar","CH,Mulhouse"
609,WEYER,"51,5","46,9","91,7",115,133,"110,2","136,7","39,7","60,5","81,9","CH,Forbach","CH,Forbach","CH,Haguenau"
816,WEYERSHEIM,"18,4","17,6","64,5","87,8","105,8",126,"152,5",70,"90,8","97,6","CH,Haguenau",HTP,HTP
362,WICKERSCHWIHR,"49,7","69,2","13,4",36,54,"97,8","171,8","112,3","133,1","116,9","CH,Colmar","CH,Colmar","CH,Mulhouse"
778,WICKERSHEIM-WILSHAUSEN,"26,4","21,8","72,4","95,8","113,8","117,4","143,8","61,4","82,1",89,"CH,Haguenau",HTP,HTP
113,WIDENSOLEN,53,"72,5","14,7","35,3","53,4","99,8","175,1","115,6","136,5","120,1","CH,Colmar","CH,Colmar","CH,Mulhouse"
11,WIHR-AU-VAL,"59,5",79,"13,2","43,8","55,8","77,3","171,7","122,1","142,8","115,7","CH,Colmar","CH,Colmar","CH,Mulhouse"
457,WILDENSTEIN,"102,2","121,7","55,7","45,5","52,8","60,4","155,4","163,9","136,6","99,3","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
614,WILDERSBACH,"46,9","66,5",62,"85,3","103,3","88,8",146,"101,2","121,9","91,2",HTP,HTP,"CH,Colmar"
564,WILLER,"93,8","113,3","55,2","26,9","45,1","110,7","205,7","156,4","177,1","149,6","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
712,WILLER-SUR-THUR,"84,2","103,7","38,9","26,1","33,4","68,7","163,6","146,8",145,"107,6","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
747,WILLGOTTHEIM,"21,8","29,5","61,1","84,4","102,5","116,9","143,3","60,9","81,7","88,5",HTP,HTP,"CH,Haguenau"
152,WILWISHEIM,"26,3","21,7","72,3","95,7","113,7","112,7","139,2","56,7","77,6","84,3","CH,Haguenau",HTP,HTP
128,WIMMENAU,"43,9","37,7",90,"113,3","131,3",129,"155,5","64,5","85,5","100,6","CH,Haguenau",HTP,HTP
565,WINDSTEIN,"50,5","34,2","96,5","119,9","137,9","148,9","175,4",78,"109,2","120,5","CH,Haguenau",HTP,HTP
374,WINGEN,"50,2","32,2","96,2","119,6","137,6","148,6","175,1","83,2","113,4","120,2","CH,Haguenau",HTP,HTP
793,WINGEN-SUR-MODER,"47,4","41,2","93,4","116,8","134,8",127,"153,4","60,1","80,9","98,7","CH,Haguenau",HTP,HTP
253,WINGERSHEIM LES QUATRE BANS,"21,1","17,3","68,9","92,2","110,3",121,"147,4",65,"85,8","92,7","CH,Haguenau",HTP,HTP
281,WINKEL,"104,2","123,7","65,6","43,4","48,1","113,3","208,3","166,8","187,5","152,1","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
870,WINTERSHOUSE,"22,4","10,6","68,5","91,8","109,8","120,8","147,3","64,8","85,6","92,5","CH,Haguenau",HTP,HTP
115,WINTZENBACH,36,"32,5","82,1","101,7","119,7","143,6","170,1","87,7","108,6","115,2","CH,Haguenau",HTP,HTP
501,WINTZENHEIM,"52,2","71,8","5,8","36,1","48,1","84,8","170,8","114,9","135,6",116,"CH,Colmar","CH,Colmar","CH,Mulhouse"
266,WINTZENHEIM-KOCHERSBERG,"20,4","31,7","59,4","82,7","100,7",119,"145,4","63,1","83,8","90,7",HTP,HTP,"CH,Haguenau"
732,WISCHES,"36,1","55,7","55,4","78,7","96,7","92,3",149,"89,9","110,7","94,2",HTP,HTP,"CH,Colmar"
478,WISSEMBOURG,"53,5","35,1","99,6","120,6","138,6","151,9","178,4","88,2","116,7","123,5","CH,Haguenau",HTP,HTP
399,WITTELSHEIM,"74,3","93,8","30,4","17,5","28,6","85,2","180,2","136,9","157,6","124,1","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
555,WITTENHEIM,"69,3","88,8","30,7","12,8","30,4","93,2","188,2","131,9","152,6","132,1","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
506,WITTERNHEIM,"34,9","54,5","37,4","60,8","78,8","106,7","171,8","102,1","122,8","116,9",HTP,HTP,"CH,Colmar"
87,WITTERSDORF,"85,7","105,3","47,4","18,4","35,4",101,"195,9","148,3","169,1","139,9","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
274,WITTERSHEIM,"22,1",13,"68,2","91,5","109,5","117,2","143,7","61,2",82,"88,8","CH,Haguenau",HTP,HTP
599,WITTISHEIM,43,"62,6","36,6","59,9","77,9",106,171,"105,7","126,4","116,2","CH,Colmar","CH,Colmar",HTP
278,WIWERSHEIM,"12,4","28,1","56,6","79,9",98,"125,9","152,6","70,2","90,9","97,8",HTP,HTP,"CH,Haguenau"
392,WOERTH,"38,5","20,6","84,6","107,9",126,137,"163,4","79,5","101,7","108,6","CH,Haguenau",HTP,HTP
653,WOLFERSDORF,"90,7","110,2","48,2",30,"25,7",99,"193,9","153,3","174,1","137,9","CH,Belfort","CH,Belfort","CH,Mulhouse"
443,WOLFGANTZEN,"55,3","74,8",17,"35,2","53,2","102,1","177,4","117,9","138,7","122,5","CH,Colmar","CH,Colmar","CH,Mulhouse"
65,WOLFISHEIM,"6,2",27,49,"72,2","90,2","118,1",157,"74,6","95,3","102,2",HTP,HTP,"CH,Haguenau"
854,WOLFSKIRCHEN,"54,9","50,4","95,1","118,4","136,4","106,2","132,7","39,3","60,1","76,4","CH,Forbach","CH,Forbach","CH,Haguenau"
430,WOLSCHHEIM,"28,8","32,1","61,8","85,1","103,1","110,7","137,2","54,7","75,5","82,3",HTP,HTP,"CH,Haguenau"
432,WOLSCHWILLER,"100,2","119,7","61,6","45,5",63,"128,6","222,2","162,8","183,5","167,4","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
770,WOLXHEIM,"19,3",40,"45,4","68,7","86,7","113,7","153,2","70,9","91,6","98,5",HTP,HTP,"CH,Haguenau"
663,WUENHEIM,"70,6","90,1","25,3","23,5",34,"90,3","185,2","133,2","153,9","129,2","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
838,ZAESSINGUE,"85,9","105,4","47,3","18,6","44,4",110,205,"148,5","169,2","148,9","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
593,ZEHNACKER,"26,1","34,1","58,8","82,2","100,2","113,1","139,6","57,1","77,9","84,7",HTP,HTP,"CH,Haguenau"
135,ZEINHEIM,"24,9","30,7",59,"82,3","100,3","115,9","142,4","59,9","80,9","87,5",HTP,HTP,"CH,Haguenau"
142,ZELLENBERG,"45,8","65,4","14,9","41,7","59,2","91,6","158,6","108,4","129,3","103,7","CH,Colmar","CH,Colmar","CH,Mulhouse"
436,ZELLWILLER,"24,4",44,"31,4","54,8","72,8","100,7","165,8","87,1","107,8","110,9",HTP,HTP,"CH,Colmar"
735,ZILLISHEIM,77,"96,5","38,4","9,5",30,"92,3","187,2","139,6","160,4","131,2","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
768,ZIMMERBACH,"56,3","75,8","9,8","41,1","53,1","80,8","174,1","118,9","139,6","119,2","CH,Colmar","CH,Colmar","CH,Mulhouse"
403,ZIMMERSHEIM,"72,7","92,2","34,1","6,8","34,9","97,5","192,5","135,3",156,"136,4","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
37,ZINSWILLER,"39,6","23,3","85,8",109,127,"134,5","160,9","73,6",97,"106,2","CH,Haguenau",HTP,HTP
368,ZITTERSHEIM,"52,4","46,2","97,4","120,8","138,8","122,4","148,9","57,1","77,9","94,1","CH,Haguenau",HTP,HTP
341,ZOEBERSDORF,"26,6",22,"72,7",96,114,"117,6","144,1","61,6","82,4","89,3","CH,Haguenau",HTP,HTP
