,X,HTP,CH_Haguenau,CH_Colmar,CH_Mulhouse,CH_Belfort,CH_Epinal,Bar_le_Duc,CH_Forbach,CH_Metz__Mercy_,CHU_Nancy__Central_,choix1,choix2,choix3
296,SAINT-ULRICH,"95,2","114,7","53,3","33,7","29,6","102,8","197,8","157,8","178,5","141,7","CH,Belfort","CH,Belfort","CH,Mulhouse"
639,SAINTE-CROIX-AUX-MINES,49,"68,5","35,7","59,1","77,1","72,6","137,6","111,6","118,9","82,8","CH,Colmar","CH,Colmar",HTP
316,SAINTE-CROIX-EN-PLAINE,"50,9","70,4","12,3","26,4","44,4","97,4","172,9","113,5","134,2","118,1","CH,Colmar","CH,Colmar","CH,Mulhouse"
783,SAINTE-MARIE-AUX-MINES,"52,2","71,7","38,9","62,3","80,3","72,2","137,1","114,8","118,4","82,4","CH,Colmar","CH,Colmar",HTP
833,SALMBACH,"44,3","40,8","90,4",110,128,"151,9","178,4","95,9","116,7","123,6","CH,Haguenau",HTP,HTP
714,SAND,"24,3","43,8","35,4","58,7","76,8","104,7","169,6","91,5","112,2","114,9",HTP,HTP,"CH,Colmar"
144,SARRE-UNION,"49,6",45,"89,8","113,1","131,1","110,8","135,3",34,55,"82,4","CH,Forbach","CH,Forbach","CH,Haguenau"
340,SARREWERDEN,"50,4","45,8","90,5","113,9","131,9","111,1","136,1","34,8","55,5","81,3","CH,Forbach","CH,Forbach","CH,Haguenau"
422,SAULXURES,"54,7","74,2","54,6","77,9",96,"74,5","131,7","108,9","112,9","76,9","CH,Colmar","CH,Colmar",HTP
28,SAUSHEIM,"66,7","86,3","28,4","10,5","30,9","93,8","188,7","129,4","150,1","132,7","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
808,SAVERNE,33,"28,9","65,8","89,1","107,2","105,6",132,"51,5","72,2","77,3","CH,Haguenau",HTP,HTP
736,SCHAEFFERSHEIM,"20,1","39,7","38,2","61,5","79,5","107,5","169,7","87,3","108,1","114,9",HTP,HTP,"CH,Colmar"
301,SCHAFFHOUSE-PRES-SELTZ,"33,6","30,1","79,6","99,3","117,3","141,2","167,7","85,2",106,"112,8","CH,Haguenau",HTP,HTP
444,SCHAFFHOUSE-SUR-ZORN,"20,9","20,1","68,8","92,2","110,2","116,4","142,8","60,4","81,1",88,"CH,Haguenau",HTP,HTP
787,SCHALKENDORF,"29,5","24,5","75,5","98,9","116,9","120,5","146,9","64,5","85,2","92,1","CH,Haguenau",HTP,HTP
730,SCHARRACHBERGHEIM-IRMSTETT,"20,4","41,2","49,1","72,4","90,5","117,4",150,"67,6","88,4","95,3",HTP,HTP,"CH,Haguenau"
49,SCHEIBENHARD,38,"34,5","84,3","103,7","121,7","145,7","172,1","89,7","110,4","117,3","CH,Haguenau",HTP,HTP
801,SCHERLENHEIM,27,"22,4",73,"96,4","114,4","116,5","142,9","60,5","81,2","88,1","CH,Haguenau",HTP,HTP
309,SCHERWILLER,"35,9","55,5","24,4","47,8","65,8",89,154,"98,5","119,3","99,2","CH,Colmar","CH,Colmar",HTP
860,SCHILLERSDORF,"36,2","28,9","82,3","105,6","123,6","123,7","150,2","67,2","87,9","95,3","CH,Haguenau",HTP,HTP
679,SCHILTIGHEIM,7,"23,2",53,"76,3","94,4","122,3","153,2","70,8","91,6","98,4",HTP,HTP,"CH,Haguenau"
611,SCHIRMECK,"40,9","60,5","60,2","83,5","101,5",87,"143,1","95,2","115,9","88,3",HTP,HTP,"CH,Colmar"
271,SCHIRRHEIN,"30,4","16,5","76,4","99,8","117,8","134,2","160,6","78,2","98,9","105,8","CH,Haguenau",HTP,HTP
708,SCHIRRHOFFEN,"29,7","18,6","75,8","99,1","117,1","135,3","161,7","79,3","100,1","106,9","CH,Haguenau",HTP,HTP
114,SCHLEITHAL,"48,1","37,3","94,2","113,8","131,8","154,1","180,6","98,2","119,1","125,7","CH,Haguenau",HTP,HTP
632,SCHLIERBACH,"74,8","94,4","36,2","10,9","40,1","102,4","196,8","137,4","158,2","141,3","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
345,SCHNERSHEIM,"16,7","29,6","59,4","82,8","100,8","122,3","148,8","66,3","87,1",94,HTP,HTP,"CH,Haguenau"
628,SCHOENAU,"47,7","67,3","35,9","57,9","75,9","111,9",177,"114,9","135,7","122,1","CH,Colmar","CH,Colmar",HTP
12,SCHOENBOURG,"49,3","44,7","87,6","110,8","128,8","108,1","134,5","47,7","68,4","79,8","CH,Haguenau","CH,Forbach","CH,Forbach"
31,SCHOENENBOURG,"41,7","23,3",88,"111,1","129,1","140,1","166,5","84,1","104,9","111,8","CH,Haguenau",HTP,HTP
647,SCHOPPERTEN,"53,5","48,9","93,6","116,9",135,"114,7",135,"33,8","54,5","86,3","CH,Forbach","CH,Forbach","CH,Haguenau"
696,SCHWEIGHOUSE-SUR-MODER,"25,6",9,"71,6","94,9",113,"123,9","150,3",68,"88,7","95,6","CH,Haguenau",HTP,HTP
249,SCHWEIGHOUSE-THANN,"78,3","97,8",33,"19,7","22,5","83,3","178,2","140,9","159,5","122,2","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
721,SCHWENHEIM,"31,7","30,5","64,5","87,8","105,9","109,1","135,4","53,1","73,8","80,7","CH,Haguenau",HTP,HTP
130,SCHWINDRATZHEIM,21,"15,7",67,"90,4","108,4","112,7","139,2","56,7","77,6","84,2","CH,Haguenau",HTP,HTP
494,SCHWOBEN,"88,6","108,1",50,"21,2","38,3","103,9","198,9","151,2",172,"142,8","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
186,SCHWOBSHEIM,"46,9","66,4","34,7","56,7","74,7","105,7","170,7","109,5","130,2","115,9","CH,Colmar","CH,Colmar",HTP
86,SEEBACH,"46,5","30,7","92,8","112,2","130,2","147,6",174,"91,6","112,3","119,2","CH,Haguenau",HTP,HTP
876,SELESTAT,"33,8","53,3","22,1","45,4","63,4","91,4","156,5","96,4","117,2","101,6","CH,Colmar","CH,Colmar",HTP
233,SELTZ,"32,9","29,4",79,"98,6","116,6","140,5","166,9","84,6","105,3","112,2","CH,Haguenau",HTP,HTP
445,SENTHEIM,"83,7","103,2","38,5","23,7","25,8","82,4","177,4","146,3","158,6","121,2","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
264,SEPPOIS-LE-BAS,"102,8","122,3","64,1","35,5","35,7","100,8","195,7","165,4",177,"139,7","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
344,SEPPOIS-LE-HAUT,103,"122,6","64,5","35,7","36,3","101,5","196,5","165,6","177,7","140,4","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
474,SERMERSHEIM,"27,7","47,3","29,2","52,5","70,6","98,5","163,5","94,9","115,6","108,7",HTP,HTP,"CH,Colmar"
181,SESSENHEIM,"26,9","23,4",73,"96,3","114,3","134,5","160,9","78,5","99,3","106,2","CH,Haguenau",HTP,HTP
633,SEWEN,"99,3","118,9","54,2","39,4","34,9",66,"160,9","161,9","142,2","104,9","CH,Belfort","CH,Belfort","CH,Mulhouse"
711,SICKERT,"91,7","111,2","46,6","31,7","27,3","74,9","169,8","154,3","151,2","113,8","CH,Belfort","CH,Belfort","CH,Mulhouse"
117,SIEGEN,"43,7","38,6","89,7","109,4","127,4","151,3","177,8","95,3","116,2","122,9","CH,Haguenau",HTP,HTP
554,SIERENTZ,"74,1","93,7","35,5",17,"40,3","103,1","196,2","136,7","157,5","141,4","CH,Mulhouse","CH,Mulhouse","CH,Colmar"
363,SIEWILLER,"45,7","41,1","85,8","109,1","127,2","104,5",131,"40,3","61,1","76,1","CH,Forbach","CH,Forbach","CH,Haguenau"
648,SILTZHEIM,65,"60,4","105,2","128,5","146,5","126,2","133,3","24,3","52,9",91,"CH,Forbach","CH,Forbach","CH,Metz,,Mercy,"
806,SOLBACH,52,"71,6","56,1","79,5","97,5","83,4","140,5","106,3","121,9","85,8",HTP,HTP,"CH,Colmar"
276,SOMMERAU,"27,6",36,"60,3","83,7","101,7","114,5",141,"58,5","79,3","86,2",HTP,HTP,"CH,Haguenau"
27,SONDERNACH,"72,8","92,3","26,5","57,1","69,1","79,2","173,7","135,4",155,"117,7","CH,Colmar","CH,Colmar","CH,Mulhouse"
505,SONDERSDORF,"101,2","120,8","62,7","40,4","53,8","118,9","213,9","163,8","184,6","157,8","CH,Mulhouse","CH,Mulhouse","CH,Belfort"
326,SOPPE-LE-BAS,"81,8","101,3","36,6","21,8","17,4","88,5","183,5","144,4","164,7","127,4","CH,Belfort","CH,Belfort","CH,Mulhouse"
